benchmark,solver,type,size,time
Uniform_by_x,PTree-H,2,11272,9.600000e-05
Uniform_by_x,PTree-H,2,30995,3.310000e-04
Uniform_by_x,PTree-H,2,12096,1.310000e-04
Uniform_by_x,PTree-H,2,18899,2.080000e-04
Uniform_by_x,PTree-H,2,368148,3.083000e-03
Uniform_by_x,PTree-H,2,165859,1.854000e-03
Uniform_by_x,PTree-H,2,127035,1.283000e-03
Uniform_by_x,PTree-H,2,57245,5.300000e-04
Uniform_by_x,PTree-H,2,51805,5.280000e-04
Uniform_by_x,PTree-H,2,48436,4.630000e-04
Uniform_by_x,PTree-H,2,32935,3.550000e-04
Uniform_by_x,PTree-H,2,30096,2.750000e-04
Uniform_by_x,PTree-H,2,14671,1.790000e-04
Uniform_by_x,PTree-H,2,15425,2.130000e-04
Uniform_by_x,PTree-H,2,15501,1.430000e-04
Uniform_by_x,PTree-H,2,69790,6.130000e-04
Uniform_by_x,PTree-H,2,67522,6.000000e-04
Uniform_by_x,PTree-H,2,55205,4.970000e-04
Uniform_by_x,PTree-H,2,42084,4.700000e-04
Uniform_by_x,PTree-H,2,20561,2.250000e-04
Uniform_by_x,CPAM-H,0,56,2.600000e-05
Uniform_by_x,CPAM-H,0,10,3.000000e-06
Uniform_by_x,CPAM-H,0,46,3.000000e-06
Uniform_by_x,CPAM-H,0,19,3.000000e-06
Uniform_by_x,CPAM-H,0,27,3.000000e-06
Uniform_by_x,CPAM-H,0,98,3.000000e-06
Uniform_by_x,CPAM-H,0,24,1.000000e-06
Uniform_by_x,CPAM-H,0,74,2.000000e-06
Uniform_by_x,CPAM-H,0,12,2.000000e-06
Uniform_by_x,CPAM-H,0,62,2.000000e-06
Uniform_by_x,CPAM-H,0,38,1.000000e-06
Uniform_by_x,CPAM-H,0,24,1.000000e-06
Uniform_by_x,CPAM-H,0,68,2.000000e-06
Uniform_by_x,CPAM-H,0,63,2.000000e-06
Uniform_by_x,CPAM-H,0,7,2.000000e-06
Uniform_by_x,CPAM-H,0,56,2.000000e-06
Uniform_by_x,CPAM-H,0,31,2.000000e-06
Uniform_by_x,CPAM-H,0,25,2.000000e-06
Uniform_by_x,CPAM-H,0,5,1.000000e-06
Uniform_by_x,CPAM-H,0,18,3.000000e-06
Uniform_by_x,CPAM-H,0,49,2.600000e-05
Uniform_by_x,CPAM-H,0,29,5.000000e-06
Uniform_by_x,CPAM-H,0,20,4.000000e-06
Uniform_by_x,CPAM-H,0,61,4.000000e-06
Uniform_by_x,CPAM-H,0,52,3.000000e-06
Uniform_by_x,CPAM-H,0,23,3.000000e-06
Uniform_by_x,CPAM-H,0,29,3.000000e-06
Uniform_by_x,CPAM-H,0,9,1.000000e-06
Uniform_by_x,CPAM-H,0,37,4.000000e-06
Uniform_by_x,CPAM-H,0,18,4.000000e-06
Uniform_by_x,CPAM-H,0,58,4.000000e-06
Uniform_by_x,CPAM-H,0,47,3.000000e-06
Uniform_by_x,CPAM-H,0,38,2.000000e-06
Uniform_by_x,CPAM-H,0,9,2.000000e-06
