benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform,PTree-H,0.01,0.19077,0.175763,0.0340773,0.249411,17.5764,3.56529,7.05649,16.6373,3.76964,7.08419,16.6473,3.57118,7.06339,16.6455,3.7864,7.09575,16.6502,0.00123133,0.0513347,0.984465,0.000888667,0.0585697,2.05102
Uniform,PTree-H,0.001,0.035177,0.0334207,0.004471,0.0429213,33.4212,3.56137,7.05756,16.6382,3.77074,7.08727,16.6462,3.57122,7.06433,16.6451,3.78536,7.10164,16.6643,0.000942333,0.0524057,0.988104,0.000985,0.0590757,2.06469
Uniform,PTree-H,0.0001,0.00504833,0.00498455,0.000929667,0.00910067,49.8505,3.5628,7.05972,16.6253,3.7743,7.08967,16.6394,3.57314,7.06706,16.6411,3.78837,7.10092,16.6622,0.000953667,0.0532607,0.993119,0.00128433,0.059068,2.05435
Uniform,KdTree,1.0,4.71644,4.71644,4.71644,4.71644,4.71644,0.264599,0.915435,3.09191,0.431239,0.894609,3.00133,0.258058,0.840771,2.92392,0.426357,0.861943,2.88403,0.00158967,0.037403,0.745157,0.00105333,0.0413297,1.78871
Uniform,KdTree,0.1,0.612832,0.541071,0.0841623,0.705673,5.41072,0.271672,0.916015,3.13952,0.434458,0.891,3.04728,0.264544,0.845391,2.98096,0.43407,0.872775,2.96334,0.00286933,0.0415747,0.752558,0.00109133,0.0475777,1.79571
Uniform,KdTree,0.01,0.1414,0.130332,0.00865433,0.166919,13.0333,0.273057,0.917821,3.14904,0.437094,0.892765,3.05236,0.265136,0.84624,2.98478,0.43503,0.874477,2.96641,0.000709,0.042223,0.757231,0.000791333,0.0465047,1.78783
Uniform,KdTree,0.001,0.0276293,0.0258707,0.001008,0.0316347,25.8712,0.272603,0.91617,3.14112,0.436303,0.892311,3.05379,0.265433,0.847307,2.9865,0.436441,0.875049,2.96623,0.000688333,0.0445337,0.750062,0.001097,0.0478947,1.79051
Uniform,KdTree,0.0001,0.00656867,0.00612806,8.66667e-05,0.00981567,61.2856,0.271856,0.91581,3.14131,0.435729,0.892554,3.05308,0.26595,0.846654,2.98978,0.435343,0.874691,2.96561,0.001193,0.0424343,0.771838,0.000742667,0.0480263,1.78617
Uniform,OrthTree,1.0,4.94593,4.94593,4.94593,4.94593,4.94593,0.313694,0.925627,3.08633,0.475344,0.905362,2.97917,0.311434,0.868222,2.90561,0.477139,0.891703,2.86249,0.00115267,0.046302,0.706582,0.000850333,0.047793,1.93821
Uniform,OrthTree,0.1,0.663295,0.593174,0.226377,0.86421,5.93175,0.337286,1.04512,3.81815,0.515407,1.0345,3.70658,0.335111,0.991363,3.63397,0.523986,1.03147,3.61768,0.00142533,0.0688503,0.946816,0.000971667,0.0721393,2.19988
Uniform,OrthTree,0.01,0.14628,0.124675,0.029011,0.152499,12.4676,0.3423,1.0635,3.88218,0.523017,1.05307,3.7667,0.339652,1.01032,3.69129,0.533159,1.05117,3.67553,0.001154,0.0664947,0.965868,0.00123267,0.0777613,2.25173
Uniform,OrthTree,0.001,0.026751,0.0237894,0.00376767,0.029506,23.7899,0.343517,1.06844,3.90495,0.526295,1.05929,3.78708,0.341814,1.01699,3.7097,0.535963,1.0583,3.69723,0.00112967,0.069981,0.970773,0.000987333,0.0748817,2.25231
Uniform,OrthTree,0.0001,0.003817,0.00354173,0.000406,0.007693,35.4223,0.343478,1.07195,3.91274,0.526981,1.06168,3.79442,0.342096,1.01873,3.71587,0.537253,1.06014,3.70259,0.00231067,0.0703703,0.964317,0.000913333,0.078608,2.24805
Uniform,ZdTree,1.0,4.87423,4.87423,4.87423,4.87423,4.87423,0.295962,0.503178,1.61004,0.322452,0.49646,1.56871,0.287211,0.480027,1.53954,0.321083,0.488111,1.52364,0.000557667,0.00388333,0.142196,0.000642667,0.0109047,1.58186
Uniform,ZdTree,0.1,0.738126,0.706991,0.349283,1.03683,7.06992,0.300514,0.517649,1.60805,0.331371,0.516573,1.57814,0.293309,0.497626,1.54994,0.326085,0.504407,1.53667,0.000437667,0.004183,0.142999,0.000515667,0.0104983,1.51357
Uniform,ZdTree,0.01,0.189274,0.180296,0.0387013,0.253191,18.0297,0.302713,0.516794,1.59316,0.333382,0.515363,1.56442,0.295278,0.497966,1.53829,0.328093,0.504597,1.52424,0.000439667,0.00419933,0.137398,0.000487667,0.0105783,1.47927
Uniform,ZdTree,0.001,0.0344607,0.0329143,0.00639067,0.0496973,32.9148,0.303717,0.519646,1.60522,0.334081,0.51885,1.57783,0.295851,0.501875,1.55238,0.330205,0.508603,1.53979,0.000376333,0.00418867,0.137359,0.000569667,0.010551,1.47769
Uniform,ZdTree,0.0001,0.005498,0.00541957,0.00164567,0.0163357,54.2007,0.304524,0.520408,1.6099,0.335712,0.520342,1.58415,0.296807,0.50327,1.5604,0.332491,0.510678,1.54801,0.000446333,0.00445667,0.137346,0.000557333,0.0105077,1.48146
