benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform,PTree-H,0.001,0.0155483,0.0146976,0.00502033,0.0219893,14.6981,3.5641,7.07354,16.6798,3.78077,7.10259,16.6923,3.57979,7.08001,16.6938,3.79668,7.11434,16.716,0.000896333,0.053057,0.993142,0.001023,0.059603,2.06614
Uniform,PTree-H,0.0001,0.00295033,0.00287538,0.000918333,0.00757167,28.7588,3.55212,7.01463,16.5161,3.76836,7.0402,16.5256,3.56719,7.01923,16.5275,3.78304,7.05143,16.5494,0.000972,0.0540257,1.00111,0.00106467,0.0602287,2.07453
Uniform,KdTree,1.0,4.70372,4.70372,4.70372,4.70372,4.70372,0.266061,0.916236,3.09702,0.431409,0.893673,2.99983,0.25905,0.843122,2.92233,0.427625,0.863467,2.88311,0.001002,0.037964,0.75771,0.001106,0.0423497,1.79549
Uniform,KdTree,0.1,0.581819,0.573517,0.396644,0.750888,5.73517,0.281332,0.960761,3.18297,0.454418,0.927978,3.06926,0.271304,0.876444,2.98685,0.448912,0.89746,2.94924,0.000746333,0.0407947,0.762305,0.00113033,0.04342,1.7686
Uniform,KdTree,0.01,0.144203,0.134136,0.0485713,0.172053,13.4137,0.281214,0.982472,3.2159,0.457381,0.933397,3.07921,0.273693,0.883704,2.99552,0.452235,0.903702,2.95775,0.000699,0.0393877,0.765261,0.00110867,0.04494,1.76516
Uniform,KdTree,0.001,0.0258297,0.0244659,0.00456767,0.0303257,24.4664,0.281178,0.984062,3.21753,0.458455,0.934917,3.07961,0.275307,0.884606,2.99685,0.457847,0.904724,2.95964,0.00100233,0.0406493,0.77073,0.000787,0.045315,1.76731
Uniform,KdTree,0.0001,0.00372167,0.00368797,0.000822,0.00978067,36.8847,0.280344,0.983454,3.21435,0.459145,0.935004,3.07807,0.277535,0.884148,2.99472,0.454758,0.905648,2.957,0.000764,0.0413077,0.771559,0.000780333,0.045535,1.7671
Uniform,OrthTree,1.0,5.18126,5.18126,5.18126,5.18126,5.18126,0.313376,0.92405,3.08646,0.474554,0.903781,2.97585,0.31182,0.867932,2.90064,0.479826,0.89195,2.86076,0.00134833,0.0446183,0.700518,0.000907667,0.047113,1.92985
Uniform,OrthTree,0.1,0.650505,0.569043,0.375767,0.722859,5.69043,0.32879,0.95173,3.12565,0.4916,0.929548,3.01026,0.324335,0.895231,2.944,0.496046,0.920987,2.91579,0.00132067,0.046282,0.713676,0.000855667,0.048924,1.80457
Uniform,OrthTree,0.01,0.149673,0.12565,0.0437407,0.165499,12.5651,0.338402,0.983872,3.22393,0.504687,0.9601,3.09994,0.331166,0.920334,3.02952,0.507739,0.945709,2.9978,0.00123167,0.0484073,0.709227,0.000984667,0.0499997,1.8025
Uniform,OrthTree,0.001,0.0272877,0.0241354,0.00399767,0.0316303,24.1359,0.338697,0.988098,3.2414,0.509767,0.966628,3.11644,0.332914,0.926422,3.04664,0.510372,0.95179,3.01532,0.00389933,0.0459507,0.720266,0.000852333,0.0512653,1.81234
Uniform,OrthTree,0.0001,0.00381867,0.00352391,0.000649333,0.00768833,35.2441,0.342503,0.988152,3.24314,0.510121,0.967135,3.12022,0.333574,0.930155,3.05067,0.511586,0.952861,3.01859,0.001321,0.0488553,0.715273,0.000889333,0.05055,1.7996
Uniform,ZdTree,1.0,7.76912,7.76912,7.76912,7.76912,7.76912,0.312828,1.08138,3.98301,0.490587,1.04876,3.8144,0.300003,0.984222,3.69985,0.484809,1.00164,3.63852,0.000662333,0.0637167,1.06977,0.000804667,0.0710973,2.34622
Uniform,ZdTree,0.1,0.706886,0.651567,0.430443,0.90257,6.51567,0.306385,1.044,3.59161,0.49845,1.02394,3.45829,0.305949,0.971558,3.36663,0.487964,0.995122,3.33644,0.000668,0.0549433,0.873094,0.00144033,0.0605123,2.16492
Uniform,ZdTree,0.01,0.168111,0.154863,0.0613723,0.203948,15.4864,0.300509,1.05245,3.67307,0.49953,1.0365,3.55401,0.300922,0.986386,3.46093,0.490081,1.01329,3.43884,0.000687667,0.0582067,0.892823,0.001508,0.062602,2.19175
Uniform,ZdTree,0.001,0.0286537,0.0285939,0.0176087,0.037337,28.5944,0.291919,1.039,3.70043,0.489289,1.02872,3.59681,0.292719,0.979228,3.50975,0.480107,1.00705,3.49034,0.000694667,0.0623517,0.945992,0.000785333,0.06815,2.26308
Uniform,ZdTree,0.0001,0.00515033,0.005338,0.00201733,0.0213357,53.385,0.295955,1.04125,3.70457,0.492745,1.03464,3.60201,0.295811,0.991441,3.51911,0.484902,1.01462,3.50138,0.000709333,0.069907,0.990296,0.00111733,0.07631,2.3389
