1.in 7.3659 25.5182 alpha: 48
distance ratio: 0
input box: (1, 0, 0, )  (100000, 100000, 100000, ) 
query box: (1, 0, 0, )  (100000, 100000, 100000, ) 
190000000 191000000 0.017391 58 29.1164 0.010542 40 0.013261 44 0.050161 99 
200000000 201000000 0.014053 59 29.3127 0.010558 40 0.013328 44 0.05006 99 
210000000 211000000 0.019421 60 29.5434 0.010517 40 0.013228 44 0.05029 99 
220000000 221000000 0.022744 63 29.8285 0.010534 40 0.013336 44 0.050064 99 
230000000 231000000 0.01945 63 30.0145 0.010541 40 0.013284 44 0.05004 99 
240000000 241000000 0.013693 63 30.0756 0.010519 40 0.013294 44 0.049998 99 
250000000 251000000 0.016744 63 30.2447 0.01058 40 0.013363 44 0.050371 100 
260000000 261000000 0.015955 63 30.3466 0.010572 40 0.01333 44 0.050665 100 
270000000 271000000 0.03094 63 29.875 0.010629 40 0.012893 45 0.051353 102 
280000000 281000000 0.014164 65 29.9984 0.010571 40 0.012951 45 0.050882 102 
290000000 291000000 0.014397 65 30.1053 0.010574 40 0.012897 45 0.051094 102 
300000000 301000000 0.012307 67 30.1747 0.010584 40 0.01291 45 0.051133 102 
310000000 311000000 0.018687 67 30.2401 0.010598 40 0.012877 45 0.050799 102 
320000000 321000000 0.014669 67 30.3111 0.010572 40 0.012943 45 0.051029 102 
330000000 331000000 0.011433 69 30.4143 0.010595 40 0.012944 45 0.051234 102 
340000000 341000000 0.014519 69 30.4997 0.010621 40 0.012999 45 0.051225 102 
350000000 351000000 0.011772 69 30.5902 0.010622 40 0.012883 45 0.051269 102 
360000000 361000000 0.017447 70 30.666 0.010565 40 0.012936 45 0.050991 102 
370000000 371000000 0.015202 70 30.8028 0.010623 40 0.012924 45 0.051118 102 
380000000 381000000 0.015463 70 30.8982 0.010567 40 0.012976 45 0.051256 102 
390000000 391000000 0.012947 70 30.9397 0.01061 40 0.012893 45 0.050982 102 
400000000 401000000 0.014593 70 31.0131 0.01057 40 0.012948 45 0.051194 102 
410000000 411000000 0.014601 70 31.0356 0.010578 40 0.012903 45 0.051321 102 
420000000 421000000 0.015924 70 31.0658 0.010631 40 0.012904 45 0.05135 102 
430000000 431000000 0.01619 70 31.1384 0.010593 40 0.012965 45 0.051024 102 
440000000 441000000 0.016076 70 31.2148 0.01057 40 0.012923 45 0.051216 102 
450000000 451000000 0.018029 70 31.2557 0.010665 40 0.013158 45 0.051494 102 
460000000 461000000 0.015214 71 31.3057 0.010646 40 0.012915 45 0.051228 102 
470000000 471000000 0.012337 72 31.3549 0.010657 40 0.013024 45 0.051251 102 
480000000 481000000 0.012949 72 31.4267 0.010604 40 0.012935 45 0.051076 102 
490000000 491000000 0.012412 72 31.2208 0.010707 40 0.013004 45 0.051126 102 
500000000 501000000 0.014261 72 31.2884 0.010634 40 0.012928 45 0.051101 102 
510000000 511000000 0.011211 72 31.3343 0.010637 40 0.012932 45 0.051035 102 
520000000 521000000 0.01662 72 31.4057 0.010602 40 0.012932 45 0.051136 102 
530000000 531000000 0.017191 72 31.4399 0.010636 40 0.012976 45 0.051175 102 
540000000 541000000 0.015146 72 31.4755 0.010607 40 0.012951 45 0.051243 102 
550000000 551000000 0.011484 73 31.5121 0.010583 40 0.012935 45 0.051071 102 
560000000 561000000 0.012828 73 31.5485 0.010612 40 0.013037 45 0.051223 102 
570000000 571000000 0.014967 73 31.5915 0.010631 40 0.012949 45 0.051349 102 
580000000 581000000 0.013089 73 31.6111 0.010605 40 0.012989 45 0.051259 102 
590000000 591000000 0.011883 73 31.6399 0.010616 40 0.012907 45 0.051215 102 
600000000 601000000 0.01362 73 31.6984 0.010658 40 0.012938 45 0.051093 102 
610000000 611000000 0.014955 73 31.6964 0.010651 40 0.013088 45 0.05175 102 
620000000 621000000 0.01283 73 31.6379 0.010642 40 0.013011 45 0.051382 102 
630000000 631000000 0.019094 73 31.6933 0.010612 40 0.012929 45 0.05144 102 
640000000 641000000 0.017905 73 31.7281 0.010604 40 0.012943 45 0.051267 102 
650000000 651000000 0.018861 73 31.7622 0.010632 40 0.013042 45 0.050961 102 
660000000 661000000 0.01698 73 31.7958 0.010642 40 0.012941 45 0.051362 102 
670000000 671000000 0.013255 73 31.8386 0.010644 40 0.012991 45 0.051496 102 
680000000 681000000 0.01315 73 31.8789 0.010633 40 0.012934 45 0.051267 102 
690000000 691000000 0.021361 73 31.924 0.010628 40 0.012896 45 0.051124 102 
700000000 701000000 0.016571 73 31.9671 0.010618 40 0.012944 45 0.051032 102 
710000000 711000000 0.017988 73 32.0053 0.010638 40 0.013052 45 0.051252 102 
720000000 721000000 0.017068 73 32.0261 0.010589 40 0.012959 45 0.051172 102 
730000000 731000000 0.016994 73 32.0536 0.010605 40 0.012933 45 0.051044 102 
740000000 741000000 0.018232 73 32.0893 0.010641 40 0.012937 45 0.051285 102 
750000000 751000000 0.015367 73 32.1151 0.010601 40 0.012919 45 0.051337 102 
760000000 761000000 0.01675 73 32.1528 0.010636 40 0.012966 45 0.051057 102 
770000000 771000000 0.013816 73 32.196 0.010565 40 0.012967 45 0.051422 102 
780000000 781000000 0.01582 73 32.2177 0.010617 40 0.012944 45 0.051009 102 
790000000 791000000 0.015851 73 32.2399 0.010598 40 0.012881 45 0.051156 102 
800000000 801000000 0.01648 73 32.2553 0.010566 40 0.012942 45 0.051234 102 
810000000 811000000 0.013912 73 32.2756 0.010657 40 0.012957 45 0.05107 102 
820000000 821000000 0.020759 73 32.3026 0.010607 40 0.013007 45 0.051232 102 
830000000 831000000 0.016521 73 32.3291 0.010627 40 0.012991 45 0.051079 102 
840000000 841000000 0.015499 73 32.3599 0.010625 40 0.012925 45 0.051072 102 
850000000 851000000 0.017656 73 32.3847 0.010612 40 0.012922 45 0.050918 102 
860000000 861000000 0.023128 73 32.4217 0.010647 40 0.012925 45 0.051377 102 
870000000 871000000 0.019757 73 32.4508 0.010618 40 0.012928 45 0.051299 102 
880000000 881000000 0.018977 73 32.4732 0.010638 40 0.01295 45 0.051082 102 
890000000 891000000 0.016026 73 32.4956 0.010733 40 0.01305 45 0.051062 102 
900000000 901000000 0.017658 73 32.5172 0.010583 40 0.012932 45 0.051131 102 
910000000 911000000 0.017353 73 32.552 0.010666 40 0.012976 45 0.05118 102 
920000000 921000000 0.020202 73 32.5763 0.010599 40 0.012925 45 0.051068 102 
930000000 931000000 0.015246 73 32.6035 0.010564 40 0.012847 45 0.051329 102 
940000000 941000000 0.018509 73 32.6269 0.010617 40 0.013002 45 0.051454 102 
950000000 951000000 0.019174 74 32.6393 0.010621 40 0.012971 45 0.051254 102 
960000000 961000000 0.019561 74 32.6611 0.010617 40 0.012929 45 0.051303 102 
970000000 971000000 0.02098 74 32.7101 0.010706 40 0.01304 45 0.050863 102 
980000000 981000000 0.014286 74 32.748 0.010727 40 0.013047 45 0.050903 102 
990000000 991000000 0.015594 74 32.767 0.010607 40 0.012899 45 0.051137 102 

